"ZIP
code [1]",Size of adjusted gross income,Amount
,,
51063,,"25,511"
51063,"$1 under $25,000",1885
51063,"$25,000 under $50,000",4418
51063,"$50,000 under $75,000",4618
51063,"$75,000 under $100,000",4872
51063,"$100,000 under $200,000",9718
51063,"$200,000 or more",**
,,
51101,,"10,702"
51101,"$1 under $25,000",2101
51101,"$25,000 under $50,000",2418
51101,"$50,000 under $75,000",2471
51101,"$75,000 under $100,000",**
51101,"$100,000 under $200,000",3712
51101,"$200,000 or more",**
,,
51103,,"266,049"
51103,"$1 under $25,000",46515
51103,"$25,000 under $50,000",79714
51103,"$50,000 under $75,000",58906
51103,"$75,000 under $100,000",37134
51103,"$100,000 under $200,000",29185
51103,"$200,000 or more",14595
,,
51104,,"588,161"
51104,"$1 under $25,000",47828
51104,"$25,000 under $50,000",95284
51104,"$50,000 under $75,000",94410
51104,"$75,000 under $100,000",79203
51104,"$100,000 under $200,000",147339
51104,"$200,000 or more",124097
,,
51105,,"120,009"
51105,"$1 under $25,000",28806
51105,"$25,000 under $50,000",48455
51105,"$50,000 under $75,000",25996
51105,"$75,000 under $100,000",10102
51105,"$100,000 under $200,000",6650
51105,"$200,000 or more",**
,,
51106,,"722,732"
51106,"$1 under $25,000",56646
51106,"$25,000 under $50,000",119444
51106,"$50,000 under $75,000",124385
51106,"$75,000 under $100,000",113674
51106,"$100,000 under $200,000",176615
51106,"$200,000 or more",131968
,,
51108,,"177,896"
51108,"$1 under $25,000",12125
51108,"$25,000 under $50,000",25975
51108,"$50,000 under $75,000",23760
51108,"$75,000 under $100,000",22040
51108,"$100,000 under $200,000",38093
51108,"$200,000 or more",55903
,,
51109,,"64,172"
51109,"$1 under $25,000",7744
51109,"$25,000 under $50,000",15594
51109,"$50,000 under $75,000",13578
51109,"$75,000 under $100,000",12159
51109,"$100,000 under $200,000",15097
51109,"$200,000 or more",**
,,
51201,,"181,195"
51201,"$1 under $25,000",12399
51201,"$25,000 under $50,000",26720
51201,"$50,000 under $75,000",28852
51201,"$75,000 under $100,000",26349
51201,"$100,000 under $200,000",39181
51201,"$200,000 or more",47694
,,
51230,,"14,481"
51230,"$1 under $25,000",822
51230,"$25,000 under $50,000",2289
51230,"$50,000 under $75,000",1882
51230,"$75,000 under $100,000",1996
51230,"$100,000 under $200,000",7492
51230,"$200,000 or more",**
,,
51231,,"7,099"
51231,"$1 under $25,000",469
51231,"$25,000 under $50,000",1262
51231,"$50,000 under $75,000",1382
51231,"$75,000 under $100,000",3986
51231,"$100,000 under $200,000",**
51231,"$200,000 or more",**
,,
51232,,"19,785"
51232,"$1 under $25,000",1843
51232,"$25,000 under $50,000",3578
51232,"$50,000 under $75,000",4771
51232,"$75,000 under $100,000",4277
51232,"$100,000 under $200,000",5316
51232,"$200,000 or more",**
,,
51234,,"36,782"
51234,"$1 under $25,000",2099
51234,"$25,000 under $50,000",5212
51234,"$50,000 under $75,000",7199
51234,"$75,000 under $100,000",7175
51234,"$100,000 under $200,000",8065
51234,"$200,000 or more",7032
,,
51235,,"31,558"
51235,"$1 under $25,000",1493
51235,"$25,000 under $50,000",3992
51235,"$50,000 under $75,000",7080
51235,"$75,000 under $100,000",5612
51235,"$100,000 under $200,000",13381
51235,"$200,000 or more",**
,,
51237,,"40,737"
51237,"$1 under $25,000",3235
51237,"$25,000 under $50,000",8226
51237,"$50,000 under $75,000",8721
51237,"$75,000 under $100,000",8160
51237,"$100,000 under $200,000",12395
51237,"$200,000 or more",**
,,
51238,,"39,949"
51238,"$1 under $25,000",1901
51238,"$25,000 under $50,000",5573
51238,"$50,000 under $75,000",7383
51238,"$75,000 under $100,000",6800
51238,"$100,000 under $200,000",18292
51238,"$200,000 or more",**
,,
51239,,"91,886"
51239,"$1 under $25,000",5097
51239,"$25,000 under $50,000",11170
51239,"$50,000 under $75,000",16952
51239,"$75,000 under $100,000",18551
51239,"$100,000 under $200,000",21647
51239,"$200,000 or more",18469
,,
51240,,"49,399"
51240,"$1 under $25,000",2795
51240,"$25,000 under $50,000",7452
51240,"$50,000 under $75,000",8058
51240,"$75,000 under $100,000",7605
51240,"$100,000 under $200,000",12997
51240,"$200,000 or more",10492
,,
51241,,"57,121"
51241,"$1 under $25,000",2898
51241,"$25,000 under $50,000",6859
51241,"$50,000 under $75,000",9534
51241,"$75,000 under $100,000",9679
51241,"$100,000 under $200,000",17967
51241,"$200,000 or more",10184
,,
51243,,"18,070"
51243,"$1 under $25,000",1083
51243,"$25,000 under $50,000",3747
51243,"$50,000 under $75,000",4434
51243,"$75,000 under $100,000",3859
51243,"$100,000 under $200,000",4947
51243,"$200,000 or more",**
,,
51245,,"36,167"
51245,"$1 under $25,000",2075
51245,"$25,000 under $50,000",5812
51245,"$50,000 under $75,000",6434
51245,"$75,000 under $100,000",4977
51245,"$100,000 under $200,000",16869
51245,"$200,000 or more",**
,,
51246,,"111,841"
51246,"$1 under $25,000",5967
51246,"$25,000 under $50,000",13813
51246,"$50,000 under $75,000",17450
51246,"$75,000 under $100,000",18474
51246,"$100,000 under $200,000",29704
51246,"$200,000 or more",26433
,,
51247,,"196,568"
51247,"$1 under $25,000",7553
51247,"$25,000 under $50,000",20961
51247,"$50,000 under $75,000",22156
51247,"$75,000 under $100,000",26251
51247,"$100,000 under $200,000",36781
51247,"$200,000 or more",82866
,,
51248,,"48,879"
51248,"$1 under $25,000",3466
51248,"$25,000 under $50,000",7279
51248,"$50,000 under $75,000",9931
51248,"$75,000 under $100,000",10468
51248,"$100,000 under $200,000",9131
51248,"$200,000 or more",8604
,,
51249,,"90,932"
51249,"$1 under $25,000",6831
51249,"$25,000 under $50,000",18182
51249,"$50,000 under $75,000",19012
51249,"$75,000 under $100,000",16511
51249,"$100,000 under $200,000",19039
51249,"$200,000 or more",11357
,,
51250,,"292,918"
51250,"$1 under $25,000",10603
51250,"$25,000 under $50,000",27287
51250,"$50,000 under $75,000",38896
51250,"$75,000 under $100,000",37426
51250,"$100,000 under $200,000",62422
51250,"$200,000 or more",116284
,,
51301,,"372,278"
51301,"$1 under $25,000",27331
51301,"$25,000 under $50,000",60758
51301,"$50,000 under $75,000",58272
51301,"$75,000 under $100,000",52038
51301,"$100,000 under $200,000",86515
51301,"$200,000 or more",87364
,,
51331,,"52,542"
51331,"$1 under $25,000",2585
51331,"$25,000 under $50,000",5527
51331,"$50,000 under $75,000",6143
51331,"$75,000 under $100,000",5801
51331,"$100,000 under $200,000",11750
51331,"$200,000 or more",20736
,,
51333,,"12,943"
51333,"$1 under $25,000",1073
51333,"$25,000 under $50,000",2761
51333,"$50,000 under $75,000",2375
51333,"$75,000 under $100,000",3170
51333,"$100,000 under $200,000",3564
51333,"$200,000 or more",**
,,
51334,,"171,107"
51334,"$1 under $25,000",15284
51334,"$25,000 under $50,000",37989
51334,"$50,000 under $75,000",30696
51334,"$75,000 under $100,000",26993
51334,"$100,000 under $200,000",40390
51334,"$200,000 or more",19755
,,
51338,,"28,394"
51338,"$1 under $25,000",1807
51338,"$25,000 under $50,000",5010
51338,"$50,000 under $75,000",4940
51338,"$75,000 under $100,000",4715
51338,"$100,000 under $200,000",11922
51338,"$200,000 or more",**
,,
51342,,"29,509"
51342,"$1 under $25,000",2531
51342,"$25,000 under $50,000",6575
51342,"$50,000 under $75,000",5583
51342,"$75,000 under $100,000",4120
51342,"$100,000 under $200,000",10700
51342,"$200,000 or more",**
,,
51343,,"5,510"
51343,"$1 under $25,000",484
51343,"$25,000 under $50,000",1214
51343,"$50,000 under $75,000",1531
51343,"$75,000 under $100,000",2281
51343,"$100,000 under $200,000",**
51343,"$200,000 or more",**
,,
51345,,"10,126"
51345,"$1 under $25,000",732
51345,"$25,000 under $50,000",1785
51345,"$50,000 under $75,000",1361
51345,"$75,000 under $100,000",1815
51345,"$100,000 under $200,000",4433
51345,"$200,000 or more",**
,,
51346,,"66,408"
51346,"$1 under $25,000",5007
51346,"$25,000 under $50,000",10253
51346,"$50,000 under $75,000",11140
51346,"$75,000 under $100,000",12597
51346,"$100,000 under $200,000",16913
51346,"$200,000 or more",10498
,,
51347,,"41,396"
51347,"$1 under $25,000",2565
51347,"$25,000 under $50,000",7079
51347,"$50,000 under $75,000",7628
51347,"$75,000 under $100,000",8486
51347,"$100,000 under $200,000",15638
51347,"$200,000 or more",**
,,
51350,,"10,945"
51350,"$1 under $25,000",712
51350,"$25,000 under $50,000",2604
51350,"$50,000 under $75,000",2300
51350,"$75,000 under $100,000",1981
51350,"$100,000 under $200,000",3348
51350,"$200,000 or more",**
,,
51351,,"156,587"
51351,"$1 under $25,000",9576
51351,"$25,000 under $50,000",20008
51351,"$50,000 under $75,000",21645
51351,"$75,000 under $100,000",21592
51351,"$100,000 under $200,000",38254
51351,"$200,000 or more",45512
,,
51354,,"25,970"
51354,"$1 under $25,000",2103
51354,"$25,000 under $50,000",5075
51354,"$50,000 under $75,000",6451
51354,"$75,000 under $100,000",3615
51354,"$100,000 under $200,000",8726
51354,"$200,000 or more",**
,,
51355,,"63,061"
51355,"$1 under $25,000",2048
51355,"$25,000 under $50,000",4878
51355,"$50,000 under $75,000",5197
51355,"$75,000 under $100,000",5877
51355,"$100,000 under $200,000",11815
51355,"$200,000 or more",33246
,,
51357,,"16,087"
51357,"$1 under $25,000",1105
51357,"$25,000 under $50,000",3403
51357,"$50,000 under $75,000",3482
51357,"$75,000 under $100,000",2874
51357,"$100,000 under $200,000",5223
51357,"$200,000 or more",**
,,
51358,,"29,364"
51358,"$1 under $25,000",3105
51358,"$25,000 under $50,000",6732
51358,"$50,000 under $75,000",5847
51358,"$75,000 under $100,000",5389
51358,"$100,000 under $200,000",8291
51358,"$200,000 or more",**
,,
51360,,"312,213"
51360,"$1 under $25,000",16016
51360,"$25,000 under $50,000",35438
51360,"$50,000 under $75,000",37008
51360,"$75,000 under $100,000",40569
51360,"$100,000 under $200,000",84626
51360,"$200,000 or more",98556
,,
51364,,"15,839"
51364,"$1 under $25,000",1589
51364,"$25,000 under $50,000",3262
51364,"$50,000 under $75,000",3910
51364,"$75,000 under $100,000",2624
51364,"$100,000 under $200,000",4454
51364,"$200,000 or more",**
,,
51365,,"7,870"
51365,"$1 under $25,000",606
51365,"$25,000 under $50,000",2208
51365,"$50,000 under $75,000",1931
51365,"$75,000 under $100,000",3125
51365,"$100,000 under $200,000",**
51365,"$200,000 or more",**
,,
51366,,"10,596"
51366,"$1 under $25,000",810
51366,"$25,000 under $50,000",1789
51366,"$50,000 under $75,000",3371
51366,"$75,000 under $100,000",**
51366,"$100,000 under $200,000",4626
51366,"$200,000 or more",**
,,
51401,,"396,451"
51401,"$1 under $25,000",26260
51401,"$25,000 under $50,000",53399
51401,"$50,000 under $75,000",55590
51401,"$75,000 under $100,000",59834
51401,"$100,000 under $200,000",93247
51401,"$200,000 or more",108121
,,
51430,,"20,830"
51430,"$1 under $25,000",1339
51430,"$25,000 under $50,000",3621
51430,"$50,000 under $75,000",4905
51430,"$75,000 under $100,000",3626
51430,"$100,000 under $200,000",7339
51430,"$200,000 or more",**
,,
51431,,"11,079"
51431,"$1 under $25,000",830
51431,"$25,000 under $50,000",2581
51431,"$50,000 under $75,000",1592
51431,"$75,000 under $100,000",6076
51431,"$100,000 under $200,000",**
51431,"$200,000 or more",**
,,
51433,,"15,110"
51433,"$1 under $25,000",1563
51433,"$25,000 under $50,000",2952
51433,"$50,000 under $75,000",2990
51433,"$75,000 under $100,000",3062
51433,"$100,000 under $200,000",4543
51433,"$200,000 or more",**
,,
51436,,"31,610"
51436,"$1 under $25,000",1449
51436,"$25,000 under $50,000",3563
51436,"$50,000 under $75,000",5503
51436,"$75,000 under $100,000",4720
51436,"$100,000 under $200,000",6708
51436,"$200,000 or more",9667
,,
51439,,"21,967"
51439,"$1 under $25,000",1813
51439,"$25,000 under $50,000",4446
51439,"$50,000 under $75,000",4272
51439,"$75,000 under $100,000",2866
51439,"$100,000 under $200,000",8570
51439,"$200,000 or more",**
,,
51440,,"10,021"
51440,"$1 under $25,000",796
51440,"$25,000 under $50,000",1776
51440,"$50,000 under $75,000",2329
51440,"$75,000 under $100,000",5120
51440,"$100,000 under $200,000",**
51440,"$200,000 or more",**
,,
51441,,"5,710"
51441,"$1 under $25,000",759
51441,"$25,000 under $50,000",2277
51441,"$50,000 under $75,000",2674
51441,"$75,000 under $100,000",**
51441,"$100,000 under $200,000",**
51441,"$200,000 or more",**
,,
51442,,"227,611"
51442,"$1 under $25,000",19561
51442,"$25,000 under $50,000",54342
51442,"$50,000 under $75,000",40981
51442,"$75,000 under $100,000",33759
51442,"$100,000 under $200,000",42877
51442,"$200,000 or more",36091
,,
51443,,"48,413"
51443,"$1 under $25,000",3379
51443,"$25,000 under $50,000",7502
51443,"$50,000 under $75,000",9484
51443,"$75,000 under $100,000",8477
51443,"$100,000 under $200,000",11470
51443,"$200,000 or more",8101
,,
51445,,"104,435"
51445,"$1 under $25,000",5909
51445,"$25,000 under $50,000",13342
51445,"$50,000 under $75,000",13054
51445,"$75,000 under $100,000",14023
51445,"$100,000 under $200,000",20011
51445,"$200,000 or more",38096
,,
51446,,"13,968"
51446,"$1 under $25,000",1349
51446,"$25,000 under $50,000",2221
51446,"$50,000 under $75,000",2621
51446,"$75,000 under $100,000",2565
51446,"$100,000 under $200,000",5212
51446,"$200,000 or more",**
,,
51448,,"16,674"
51448,"$1 under $25,000",979
51448,"$25,000 under $50,000",2718
51448,"$50,000 under $75,000",2623
51448,"$75,000 under $100,000",2104
51448,"$100,000 under $200,000",8250
51448,"$200,000 or more",**
,,
51449,,"50,517"
51449,"$1 under $25,000",4123
51449,"$25,000 under $50,000",9020
51449,"$50,000 under $75,000",9465
51449,"$75,000 under $100,000",7257
51449,"$100,000 under $200,000",12856
51449,"$200,000 or more",7796
,,
51450,,"46,053"
51450,"$1 under $25,000",3119
51450,"$25,000 under $50,000",8133
51450,"$50,000 under $75,000",8475
51450,"$75,000 under $100,000",6046
51450,"$100,000 under $200,000",12415
51450,"$200,000 or more",7865
,,
51453,,"15,823"
51453,"$1 under $25,000",1476
51453,"$25,000 under $50,000",2708
51453,"$50,000 under $75,000",3528
51453,"$75,000 under $100,000",2457
51453,"$100,000 under $200,000",5654
51453,"$200,000 or more",**
,,
51454,,"32,731"
51454,"$1 under $25,000",2587
51454,"$25,000 under $50,000",5926
51454,"$50,000 under $75,000",6621
51454,"$75,000 under $100,000",7194
51454,"$100,000 under $200,000",10403
51454,"$200,000 or more",**
,,
51455,,"67,083"
51455,"$1 under $25,000",4070
51455,"$25,000 under $50,000",10583
51455,"$50,000 under $75,000",10041
51455,"$75,000 under $100,000",12846
51455,"$100,000 under $200,000",16908
51455,"$200,000 or more",12635
,,
51458,,"40,352"
51458,"$1 under $25,000",2530
51458,"$25,000 under $50,000",6493
51458,"$50,000 under $75,000",7282
51458,"$75,000 under $100,000",6316
51458,"$100,000 under $200,000",11408
51458,"$200,000 or more",6323
,,
51461,,"33,509"
51461,"$1 under $25,000",2110
51461,"$25,000 under $50,000",5121
51461,"$50,000 under $75,000",5543
51461,"$75,000 under $100,000",5842
51461,"$100,000 under $200,000",14893
51461,"$200,000 or more",**
,,
51462,,"23,742"
51462,"$1 under $25,000",2215
51462,"$25,000 under $50,000",5123
51462,"$50,000 under $75,000",4963
51462,"$75,000 under $100,000",4556
51462,"$100,000 under $200,000",6885
51462,"$200,000 or more",**
,,
51463,,"20,396"
51463,"$1 under $25,000",888
51463,"$25,000 under $50,000",2551
51463,"$50,000 under $75,000",3285
51463,"$75,000 under $100,000",2698
51463,"$100,000 under $200,000",10974
51463,"$200,000 or more",**
,,
51465,,"19,078"
51465,"$1 under $25,000",1460
51465,"$25,000 under $50,000",3631
51465,"$50,000 under $75,000",4309
51465,"$75,000 under $100,000",3045
51465,"$100,000 under $200,000",6633
51465,"$200,000 or more",**
,,
51466,,"27,975"
51466,"$1 under $25,000",1958
51466,"$25,000 under $50,000",4491
51466,"$50,000 under $75,000",4850
51466,"$75,000 under $100,000",4563
51466,"$100,000 under $200,000",12113
51466,"$200,000 or more",**
,,
51467,,"17,927"
51467,"$1 under $25,000",965
51467,"$25,000 under $50,000",2898
51467,"$50,000 under $75,000",3540
51467,"$75,000 under $100,000",3706
51467,"$100,000 under $200,000",6818
51467,"$200,000 or more",**
,,
51501,,"614,409"
51501,"$1 under $25,000",89470
51501,"$25,000 under $50,000",179398
51501,"$50,000 under $75,000",139353
51501,"$75,000 under $100,000",90196
51501,"$100,000 under $200,000",86238
51501,"$200,000 or more",29754
,,
51503,,"1,096,338"
51503,"$1 under $25,000",68323
51503,"$25,000 under $50,000",137948
51503,"$50,000 under $75,000",155660
51503,"$75,000 under $100,000",167422
51503,"$100,000 under $200,000",355706
51503,"$200,000 or more",211279
,,
51510,,"73,941"
51510,"$1 under $25,000",8602
51510,"$25,000 under $50,000",15606
51510,"$50,000 under $75,000",12313
51510,"$75,000 under $100,000",11041
51510,"$100,000 under $200,000",17459
51510,"$200,000 or more",8920
,,
51521,,"60,065"
51521,"$1 under $25,000",4159
51521,"$25,000 under $50,000",8795
51521,"$50,000 under $75,000",10121
51521,"$75,000 under $100,000",11504
51521,"$100,000 under $200,000",15934
51521,"$200,000 or more",9552
,,
51523,,"8,064"
51523,"$1 under $25,000",731
51523,"$25,000 under $50,000",1665
51523,"$50,000 under $75,000",1792
51523,"$75,000 under $100,000",3876
51523,"$100,000 under $200,000",**
51523,"$200,000 or more",**
,,
51525,,"32,364"
51525,"$1 under $25,000",2149
51525,"$25,000 under $50,000",4887
51525,"$50,000 under $75,000",5351
51525,"$75,000 under $100,000",7184
51525,"$100,000 under $200,000",12793
51525,"$200,000 or more",**
,,
51526,,"55,090"
51526,"$1 under $25,000",2682
51526,"$25,000 under $50,000",6888
51526,"$50,000 under $75,000",8016
51526,"$75,000 under $100,000",10499
51526,"$100,000 under $200,000",27005
51526,"$200,000 or more",**
,,
51527,,"14,725"
51527,"$1 under $25,000",1137
51527,"$25,000 under $50,000",2438
51527,"$50,000 under $75,000",3319
51527,"$75,000 under $100,000",1781
51527,"$100,000 under $200,000",6050
51527,"$200,000 or more",**
,,
51528,,"20,823"
51528,"$1 under $25,000",1978
51528,"$25,000 under $50,000",4223
51528,"$50,000 under $75,000",4335
51528,"$75,000 under $100,000",2979
51528,"$100,000 under $200,000",7308
51528,"$200,000 or more",**
,,
51529,,"46,954"
51529,"$1 under $25,000",3067
51529,"$25,000 under $50,000",7569
51529,"$50,000 under $75,000",8285
51529,"$75,000 under $100,000",7865
51529,"$100,000 under $200,000",10531
51529,"$200,000 or more",9637
,,
51530,,"24,210"
51530,"$1 under $25,000",1548
51530,"$25,000 under $50,000",4034
51530,"$50,000 under $75,000",3741
51530,"$75,000 under $100,000",3372
51530,"$100,000 under $200,000",11515
51530,"$200,000 or more",**
,,
51531,,"22,035"
51531,"$1 under $25,000",1282
51531,"$25,000 under $50,000",3674
51531,"$50,000 under $75,000",4020
51531,"$75,000 under $100,000",4618
51531,"$100,000 under $200,000",8441
51531,"$200,000 or more",**
,,
51532,,"13,859"
51532,"$1 under $25,000",1313
51532,"$25,000 under $50,000",2309
51532,"$50,000 under $75,000",3106
51532,"$75,000 under $100,000",2719
51532,"$100,000 under $200,000",4412
51532,"$200,000 or more",**
,,
51533,,"23,732"
51533,"$1 under $25,000",1388
51533,"$25,000 under $50,000",3344
51533,"$50,000 under $75,000",4330
51533,"$75,000 under $100,000",3896
51533,"$100,000 under $200,000",10774
51533,"$200,000 or more",**
,,
51534,,"276,537"
51534,"$1 under $25,000",14203
51534,"$25,000 under $50,000",32417
51534,"$50,000 under $75,000",36507
51534,"$75,000 under $100,000",44520
51534,"$100,000 under $200,000",91843
51534,"$200,000 or more",57047
,,
51535,,"46,977"
51535,"$1 under $25,000",3505
51535,"$25,000 under $50,000",7559
51535,"$50,000 under $75,000",8772
51535,"$75,000 under $100,000",8761
51535,"$100,000 under $200,000",10679
51535,"$200,000 or more",7701
,,
51536,,"12,195"
51536,"$1 under $25,000",911
51536,"$25,000 under $50,000",2347
51536,"$50,000 under $75,000",1827
51536,"$75,000 under $100,000",2279
51536,"$100,000 under $200,000",4831
51536,"$200,000 or more",**
,,
51537,,"197,474"
51537,"$1 under $25,000",13439
51537,"$25,000 under $50,000",28211
51537,"$50,000 under $75,000",31081
51537,"$75,000 under $100,000",30971
51537,"$100,000 under $200,000",49594
51537,"$200,000 or more",44178
,,
51540,,"11,263"
51540,"$1 under $25,000",675
51540,"$25,000 under $50,000",2305
51540,"$50,000 under $75,000",1723
51540,"$75,000 under $100,000",2203
51540,"$100,000 under $200,000",4357
51540,"$200,000 or more",**
,,
51541,,"9,317"
51541,"$1 under $25,000",477
51541,"$25,000 under $50,000",1577
51541,"$50,000 under $75,000",1960
51541,"$75,000 under $100,000",5303
51541,"$100,000 under $200,000",**
51541,"$200,000 or more",**
,,
51542,,"34,903"
51542,"$1 under $25,000",1404
51542,"$25,000 under $50,000",3658
51542,"$50,000 under $75,000",4839
51542,"$75,000 under $100,000",5932
51542,"$100,000 under $200,000",19070
51542,"$200,000 or more",**
,,
51543,,"10,703"
51543,"$1 under $25,000",1001
51543,"$25,000 under $50,000",2193
51543,"$50,000 under $75,000",2452
51543,"$75,000 under $100,000",5057
51543,"$100,000 under $200,000",**
51543,"$200,000 or more",**
,,
51544,,"17,752"
51544,"$1 under $25,000",1041
51544,"$25,000 under $50,000",3430
51544,"$50,000 under $75,000",4261
51544,"$75,000 under $100,000",1919
51544,"$100,000 under $200,000",7101
51544,"$200,000 or more",**
,,
51545,,"5,992"
51545,"$1 under $25,000",712
51545,"$25,000 under $50,000",1542
51545,"$50,000 under $75,000",3738
51545,"$75,000 under $100,000",**
51545,"$100,000 under $200,000",**
51545,"$200,000 or more",**
,,
51546,,"78,944"
51546,"$1 under $25,000",4951
51546,"$25,000 under $50,000",10486
51546,"$50,000 under $75,000",13228
51546,"$75,000 under $100,000",13661
51546,"$100,000 under $200,000",26607
51546,"$200,000 or more",10011
,,
51548,,"14,473"
51548,"$1 under $25,000",581
51548,"$25,000 under $50,000",1787
51548,"$50,000 under $75,000",2485
51548,"$75,000 under $100,000",2593
51548,"$100,000 under $200,000",7027
51548,"$200,000 or more",**
,,
51549,,"13,486"
51549,"$1 under $25,000",772
51549,"$25,000 under $50,000",1653
51549,"$50,000 under $75,000",2227
51549,"$75,000 under $100,000",2515
51549,"$100,000 under $200,000",6319
51549,"$200,000 or more",**
,,
51551,,"50,795"
51551,"$1 under $25,000",3079
51551,"$25,000 under $50,000",7318
51551,"$50,000 under $75,000",9352
51551,"$75,000 under $100,000",8656
51551,"$100,000 under $200,000",14016
51551,"$200,000 or more",8374
,,
51552,,"6,113"
51552,"$1 under $25,000",629
51552,"$25,000 under $50,000",1011
51552,"$50,000 under $75,000",1795
51552,"$75,000 under $100,000",2678
51552,"$100,000 under $200,000",**
51552,"$200,000 or more",**
,,
51553,,"29,229"
51553,"$1 under $25,000",1624
51553,"$25,000 under $50,000",3851
51553,"$50,000 under $75,000",3767
51553,"$75,000 under $100,000",5128
51553,"$100,000 under $200,000",14859
51553,"$200,000 or more",**
,,
51555,,"134,792"
51555,"$1 under $25,000",10134
51555,"$25,000 under $50,000",21529
51555,"$50,000 under $75,000",23581
51555,"$75,000 under $100,000",21216
51555,"$100,000 under $200,000",41468
51555,"$200,000 or more",16864
,,
51556,,"9,187"
51556,"$1 under $25,000",909
51556,"$25,000 under $50,000",1895
51556,"$50,000 under $75,000",1949
51556,"$75,000 under $100,000",4434
51556,"$100,000 under $200,000",**
51556,"$200,000 or more",**
,,
51557,,"21,694"
51557,"$1 under $25,000",1571
51557,"$25,000 under $50,000",2736
51557,"$50,000 under $75,000",4151
51557,"$75,000 under $100,000",4007
51557,"$100,000 under $200,000",9229
51557,"$200,000 or more",**
,,
51558,,"13,505"
51558,"$1 under $25,000",1106
51558,"$25,000 under $50,000",2409
51558,"$50,000 under $75,000",3946
51558,"$75,000 under $100,000",**
51558,"$100,000 under $200,000",6044
51558,"$200,000 or more",**
,,
51559,,"53,186"
51559,"$1 under $25,000",3046
51559,"$25,000 under $50,000",6969
51559,"$50,000 under $75,000",9350
51559,"$75,000 under $100,000",9607
51559,"$100,000 under $200,000",17773
51559,"$200,000 or more",6441
,,
51560,,"53,699"
51560,"$1 under $25,000",3875
51560,"$25,000 under $50,000",9693
51560,"$50,000 under $75,000",9947
51560,"$75,000 under $100,000",9667
51560,"$100,000 under $200,000",20517
51560,"$200,000 or more",**
,,
51561,,"41,821"
51561,"$1 under $25,000",2627
51561,"$25,000 under $50,000",5938
51561,"$50,000 under $75,000",6530
51561,"$75,000 under $100,000",7473
51561,"$100,000 under $200,000",19253
51561,"$200,000 or more",**
,,
51562,,"14,797"
51562,"$1 under $25,000",809
51562,"$25,000 under $50,000",2139
51562,"$50,000 under $75,000",3066
51562,"$75,000 under $100,000",2300
51562,"$100,000 under $200,000",6483
51562,"$200,000 or more",**
,,
51563,,"18,309"
51563,"$1 under $25,000",1390
51563,"$25,000 under $50,000",3528
51563,"$50,000 under $75,000",3117
51563,"$75,000 under $100,000",2519
51563,"$100,000 under $200,000",7755
51563,"$200,000 or more",**
,,
51564,,"10,560"
51564,"$1 under $25,000",877
51564,"$25,000 under $50,000",1749
51564,"$50,000 under $75,000",2227
51564,"$75,000 under $100,000",2319
51564,"$100,000 under $200,000",3388
51564,"$200,000 or more",**
,,
51565,,"18,844"
51565,"$1 under $25,000",857
51565,"$25,000 under $50,000",2092
51565,"$50,000 under $75,000",3550
51565,"$75,000 under $100,000",2741
51565,"$100,000 under $200,000",9604
51565,"$200,000 or more",**
,,
51566,,"156,458"
51566,"$1 under $25,000",15489
51566,"$25,000 under $50,000",28721
51566,"$50,000 under $75,000",27648
51566,"$75,000 under $100,000",23701
51566,"$100,000 under $200,000",39957
51566,"$200,000 or more",20942
,,
51570,,"26,113"
51570,"$1 under $25,000",2219
51570,"$25,000 under $50,000",4779
51570,"$50,000 under $75,000",5385
51570,"$75,000 under $100,000",4188
51570,"$100,000 under $200,000",9542
51570,"$200,000 or more",**
,,
51571,,"21,397"
51571,"$1 under $25,000",822
51571,"$25,000 under $50,000",2198
51571,"$50,000 under $75,000",2143
51571,"$75,000 under $100,000",4687
51571,"$100,000 under $200,000",11547
51571,"$200,000 or more",**
,,
51572,,"8,793"
51572,"$1 under $25,000",712
51572,"$25,000 under $50,000",1778
51572,"$50,000 under $75,000",1606
51572,"$75,000 under $100,000",4697
51572,"$100,000 under $200,000",**
51572,"$200,000 or more",**
,,
51573,,"29,024"
51573,"$1 under $25,000",1747
51573,"$25,000 under $50,000",4212
51573,"$50,000 under $75,000",5730
51573,"$75,000 under $100,000",8096
51573,"$100,000 under $200,000",9239
51573,"$200,000 or more",**
,,
51575,,"57,301"
51575,"$1 under $25,000",2504
51575,"$25,000 under $50,000",5245
51575,"$50,000 under $75,000",8037
51575,"$75,000 under $100,000",10461
51575,"$100,000 under $200,000",21007
51575,"$200,000 or more",10047
,,
51576,,"64,231"
51576,"$1 under $25,000",3134
51576,"$25,000 under $50,000",6333
51576,"$50,000 under $75,000",7905
51576,"$75,000 under $100,000",11798
51576,"$100,000 under $200,000",27207
51576,"$200,000 or more",7854
,,
51577,,"29,374"
51577,"$1 under $25,000",2551
51577,"$25,000 under $50,000",4472
51577,"$50,000 under $75,000",5054
51577,"$75,000 under $100,000",4671
51577,"$100,000 under $200,000",12626
51577,"$200,000 or more",**
,,
51579,,"59,830"
51579,"$1 under $25,000",4284
51579,"$25,000 under $50,000",10093
51579,"$50,000 under $75,000",11341
51579,"$75,000 under $100,000",10311
51579,"$100,000 under $200,000",15077
51579,"$200,000 or more",8724
,,
51601,,"131,223"
51601,"$1 under $25,000",12248
51601,"$25,000 under $50,000",22680
